           Termo       IDF
0           Bola  0.845098
1          abrar  0.845098
2          abrir  0.845098
3           abro  0.845098
4          ainda  0.845098
5         alagar  0.845098
6          alegr  0.845098
7          algum  0.845098
8        amarela  0.845098
9     amarelinha  0.845098
10          ante  0.845098
11       arminho  0.845098
12       arranca  0.845098
13          azul  0.845098
14       batalha  0.845098
15         bater  0.845098
16          belo  0.845098
17           bem  0.845098
18      bichinho  0.845098
19         bicho  0.845098
20     bonitinho  0.845098
21     borboleta  0.544068
22     borboleto  0.845098
23        branca  0.845098
24        branco  0.845098
25        brinca  0.845098
26       brincar  0.544068
27            ca  0.845098
28        cabeça  0.845098
29          cada  0.845098
30          cair  0.845098
31       caminho  0.544068
32        cantar  0.845098
33       capitão  0.845098
34          cego  0.845098
35           cem  0.845098
36     centopeia  0.845098
37       certeza  0.845098
38         chove  0.845098
39          chão  0.845098
40      condenar  0.845098
41      conhecer  0.845098
42        contar  0.845098
43    cozinheira  0.845098
44       criança  0.845098
45       cuidado  0.845098
46           céu  0.845098
47      derrotar  0.845098
48   devagarinho  0.845098
49           dia  0.845098
50         dizer  0.845098
51         durar  0.845098
52      encerrar  0.845098
53       ensinar  0.845098
54         então  0.544068
55         escar  0.845098
56     escuridão  0.845098
57      esquecer  0.845098
58       existir  0.845098
59      explorar  0.845098
60       falasse  0.845098
61         fazer  0.845098
62        fechar  0.845098
63         fecho  0.845098
64         ficar  0.845098
65          fico  0.845098
66       formiga  0.845098
67        franco  0.845098
68        frente  0.845098
69         fruta  0.845098
70        gastar  0.845098
71        gostar  0.845098
72       grandão  0.845098
73        ideiar  0.845098
74            ir  0.243038
75      levantar  0.845098
76    ligeirinho  0.845098
77           luz  0.544068
78            lá  0.845098
79       madeiro  0.845098
80     madrugada  0.845098
81         manca  0.845098
82       maneira  0.845098
83       matéria  0.845098
84          maçã  0.845098
85     menininho  0.845098
86         morto  0.845098
87         mundo  0.367977
88          nada  0.845098
89          namo  0.845098
90          novo  0.845098
91            oh  0.845098
92         olhar  0.845098
93         outro  0.845098
94       palavra  0.845098
95      papagaio  0.845098
96           par  0.845098
97           pas  0.845098
98          pato  0.845098
99         pedra  0.845098
100      pequeno  0.845098
101         pião  0.845098
102        piãor  0.845098
103           po  0.845098
104         pode  0.845098
105        poder  0.845098
106        porta  0.544068
107        pouco  0.845098
108          pra  0.845098
109  prazenteira  0.845098
110        preto  0.845098
111     primeiro  0.845098
112  prisioneiro  0.845098
113           pé  0.544068
114       quanto  0.845098
115      quartel  0.845098
116       queixo  0.845098
117       querer  0.845098
118         ramo  0.845098
119          rar  0.845098
120     redondar  0.845098
121    responder  0.845098
122          rio  0.845098
123          ruo  0.845098
124            s  0.845098
125        saber  0.845098
126       sapato  0.845098
127         seda  0.845098
128       sempre  0.845098
129     silêncio  0.845098
130       sonhar  0.845098
131     supetãor  0.845098
132       tamanq  0.845098
133  tamanquinho  0.845098
134        tanto  0.845098
135          ter  0.845098
136        terra  0.845098
137         todo  0.845098
138         troc  0.845098
139         tudo  0.845098
140          tão  0.845098
141        uinho  0.845098
142         vida  0.845098
143        vidro  0.845098
144          vir  0.845098
145        viver  0.845098
146         vivo  0.845098
147      vizinho  0.845098
148         voar  0.845098
149       zangar  0.845098
150         água  0.845098
